number for sorting purposes,protein name,family,gene ID,synonym,clone,all gene IDs,subgenome
310049,ZmGLK49,G2-like,Zm00001eb179690,GLK49,,GRMZM2G168002 Zm00001d050404 Zm00001eb179690,2
310050,ZmGLK50,G2-like,,GLK50,,GRMZM2G034563 Zm00001d030911,1
310051,ZmGLK51,G2-like,Zm00001eb288080,GLK51,pUT3347,Zm00001eb288080 Zm00001eb288090 GRMZM2G398055 Zm00001d038191,1
310052,ZmGLK52,G2-like,Zm00001eb433040,GLK52,pUT3371,Zm00001eb433040 Zm00001d026542 GRMZM2G124495,2
310053,ZmGLK53,G2-like,Zm00001eb233310,GLK53,pUT6198,GRMZM2G052544 Zm00001d015407 Zm00001eb233310,
310054,ZmGLK54,G2-like,Zm00001eb148190,GLK54,,GRMZM2G074908 Zm00001eb148190 Zm00001d042892,1
310056,ZmGLK56,G2-like,Zm00001eb362240,GLK56,pUT6199,GRMZM2G067702 Zm00001d011785 Zm00001eb362240,2
310057,ZmGLK57,G2-like,Zm00001eb371980,GLK1,pUT3357,Zm00001eb371980 GRMZM2G026833 Zm00001d044785,1
310058,ZmGLK58,G2-like,Zm00001eb291350,GLK58,pUT3343,GRMZM2G117854 Zm00001d038546 Zm00001eb291350,1
310059,ZmGLK59,G2-like,Zm00001eb331010,GLK59,pUT3417,AC155434.2_FG005 Zm00001eb331010 Zm00001d022526,
310060,ZmGLK60,G2-like,Zm00001eb097740,,,GRMZM2G090061 Zm00001d005547 Zm00001eb097740,
310061,ZmGLK61,G2-like,Zm00001eb023160,ZmMYBR43,pUT5394,Zm00001eb023160 GRMZM5G813892 Zm00001d029875,
310062,ZmGLK62,G2-like,Zm00001eb023780,ZmMYBR32,pUT5398,Zm00001eb023780 GRMZM2G088524 Zm00001d029963,1
310063,ZmGLK63,G2-like,Zm00001eb077410,,,Zm00001eb077410 Zm00001eb077420 Zm00001d003037 GRMZM5G869984,
310064,ZmGLK64,G2-like,Zm00001eb214030,,,Zm00001d013187 Zm00001eb214030,
310065,ZmGLK65,G2-like,Zm00001eb172880,ZmMYBR92,pUT3448,Zm00001d049581 Zm00001eb172880 GRMZM2G157306,2
310066,ZmGLK66,G2-like,Zm00001eb227200,,,Zm00001d014701 Zm00001eb227200,
310067,ZmGLK67,G2-like,Zm00001eb332340,ZmMYBR2,pUT1161,Zm00001d008198 GRMZM2G400489 Zm00001eb332340,
310068,ZmGLK68,G2-like,Zm00001eb337410,ZmMYBR24,,Zm00001eb337410 Zm00001d008808 GRMZM2G049695,
310069,ZmGLK69,G2-like,Zm00001eb123770,,,Zm00001eb123770 Zm00001d039785,
310070,ZmGLK70,G2-like,Zm00001eb139830,,,Zm00001eb139830 Zm00001d041960,
310071,ZmGLK71,G2-like,Zm00001eb009140,ZmARR3,pUT6269,Zm00001d028265 GRMZM2G099797 Zm00001eb009140,1
310072,ZmGLK72,G2-like,Zm00001eb227390,ZmARR5,pUT5240,Zm00001d014723 Zm00001eb227390 GRMZM2G133262,
310073,ZmGLK73,G2-like,Zm00001eb388540,,,GRMZM2G142748 Zm00001eb388540,
310074,ZmGLK74,G2-like,Zm00001eb391130,ZmMYBR31,pUT5526,Zm00001eb391130 Zm00001d000184 GRMZM2G034110,2
320001,ZmHAG1,GNAT,Zm00001eb004140,HAGTF1,pUT6231,Zm00001eb004140 AC209858.4_FG004 Zm00001eb004150 Zm00001d027703,
320002,ZmHAG2,GNAT,Zm00001eb007500,HAGTF2,,Zm00001eb007500 GRMZM2G114184 Zm00001d028074 Zm00001eb007490,1
320003,ZmHAG3,GNAT,Zm00001eb044400,HAGTF3,pUT5350,Zm00001eb044400 GRMZM2G131618 Zm00001d032548,1
320004,ZmHAG4,GNAT,Zm00001eb044470,HAGTF4,,GRMZM2G135849 Zm00001eb044470 Zm00001d032556,1
320005,ZmHAG5,GNAT,Zm00001eb054010,SGB102,pUT6517,Zm00001d033620 Zm00001eb054010 GRMZM2G123159,1
320006,ZmHAG6,GNAT,Zm00001eb058360,HAGTF6,,GRMZM2G099305 Zm00001d034143 Zm00001eb058360,1
320007,ZmHAG7,GNAT,Zm00001eb060500,HAGTF7,pUT5732,Zm00001eb060500 Zm00001d034417 GRMZM2G031062,1
320008,ZmHAG8,GNAT,Zm00001eb060510,HAGTF8,pUT5338,GRMZM2G342856 Zm00001d034418 Zm00001eb060510,1
320009,ZmHAG9,GNAT,Zm00001eb060530,HAGTF9,pUT6654,Zm00001d034419 GRMZM2G478798 Zm00001eb060530,1
320010,ZmHAG10,GNAT,Zm00001eb069290,,pUT6643,GRMZM2G106245 Zm00001eb069290 Zm00001d002156,1
320011,ZmHAG11,GNAT,Zm00001eb079280,HAGTF11,pUT6613,GRMZM2G093557 GRMZM2G100872 Zm00001eb079280 Zm00001d003257 Zm00001d003258 Zm00001eb079270,1
320012,ZmHAG12,GNAT,Zm00001eb086010,HAGTF12,pUT4599,GRMZM2G126856 Zm00001d004046 Zm00001eb086010,
320013,ZmHAG13,GNAT,Zm00001eb090110,HAGTF13,pUT6711,GRMZM2G162056 Zm00001d004611 Zm00001eb090110,
320014,ZmHAG14,GNAT,Zm00001eb113280,HAGTF14,,GRMZM5G875676 Zm00001d007387 Zm00001eb113280,
320015,ZmHAG15,GNAT,Zm00001eb140130,HAGTF15,,GRMZM2G371912 Zm00001d042003 Zm00001eb140130,1
320016,ZmHAG16,GNAT,Zm00001eb161090,HAGTF16,pUT4720,Zm00001d044368 GRMZM2G333775 Zm00001eb161090,
320017,ZmHAG17,GNAT,Zm00001eb161820,HAGTF17,pUT6670,GRMZM2G137961 Zm00001eb161820 Zm00001d044446,1
320018,ZmHAG18,GNAT,Zm00001eb172140,HAGTF18,,GRMZM2G055141 Zm00001d049501 Zm00001eb172140,2
320019,ZmHAG19,GNAT,Zm00001eb189250,HAGTF19,pUT5564,Zm00001d051663 GRMZM2G011624 Zm00001eb189250,2
320020,ZmHAG20,GNAT,Zm00001eb198110,HAGTF20,,GRMZM2G059302 Zm00001d052680 Zm00001d052681 Zm00001eb198110,
320021,ZmHAG21,GNAT,Zm00001eb213090,HAGTF21,pUT6410,GRMZM2G431445 Zm00001eb213090 Zm00001d013087,2
320022,ZmHAG22,GNAT,Zm00001eb217880,HAGTF22,pUT6658,Zm00001d013597 GRMZM2G176688 Zm00001eb217880 Zm00001d013596 GRMZM2G176723 Zm00001eb217870,2
320023,ZmHAG23,GNAT,Zm00001eb223040,HAG101,,GRMZM2G046021 Zm00001d014175 Zm00001eb223040,2
320024,ZmHAG24,GNAT,Zm00001eb234070,HAGTF24,pUT4721,Zm00001eb234070 Zm00001d015508 GRMZM2G479325,1
320025,ZmHAG25,GNAT,Zm00001eb251310,HAGTF25,pUT6755,GRMZM2G561273 Zm00001d017691 Zm00001eb251310 GRMZM2G169326,1
320026,ZmHAG26,GNAT,Zm00001eb256360,HAGTF26,pUT6578,Zm00001d018218 Zm00001eb256360 GRMZM2G046288,1
320027,ZmHAG27,GNAT,Zm00001eb275010,HAGTF27,pUT4722,Zm00001d036716 GRMZM2G049730 Zm00001eb275010,2
320028,ZmHAG28,GNAT,Zm00001eb282220,HAGTF28,,GRMZM2G402538 Zm00001d037529 Zm00001eb282220,1
320029,ZmHAG29,GNAT,Zm00001eb286800,HAGTF29,,GRMZM2G062657 Zm00001d038054 Zm00001eb286800,1
320030,ZmHAG30,GNAT,Zm00001eb290780,HAGTF30,pUT6796,Zm00001d038490 GRMZM2G701207 Zm00001d038491 Zm00001eb290780,
320031,ZmHAG31,GNAT,Zm00001eb298780,HAGTF31,,GRMZM2G458082 Zm00001eb298780 Zm00001d018677,1
320032,ZmHAG32,GNAT,Zm00001eb304740,HAGTF32,,GRMZM2G302778 Zm00001d019343 Zm00001eb304740,1
320033,ZmHAG33,GNAT,Zm00001eb325850,HAGTF33,,GRMZM5G813007 Zm00001d021956 Zm00001eb325850,
320034,ZmHAG34,GNAT,Zm00001eb348680,HAGTF34,,GRMZM2G034495 Zm00001d010192 Zm00001eb348680,
320035,ZmHAG35,GNAT,Zm00001eb388750,HAGTF35,,GRMZM2G050137 Zm00001d046823 Zm00001eb388750,1
320036,ZmHAG36,GNAT,Zm00001eb401150,HAGTF36,,GRMZM2G096352 Zm00001d048194 Zm00001eb401150,2
320037,ZmHAG37,GNAT,Zm00001eb401920,HAGTF37,,Zm00001eb401920 Zm00001d048286 Zm00001eb401960 GRMZM2G136389,2
320038,ZmHAG38,GNAT,Zm00001eb403080,HAGTF38,pUT6227,AC149475.2_FG007 Zm00001d048407 Zm00001eb403080,
320039,ZmHAG39,GNAT,Zm00001eb404710,HAGTF39,,GRMZM2G134426 Zm00001d048574 Zm00001eb404710,
320040,ZmHAG40,GNAT,Zm00001eb412590,HAGTF40,,GRMZM2G137715 Zm00001d024169 Zm00001eb412590,
320041,ZmHAG41,GNAT,Zm00001eb424460,HAGTF41,,GRMZM2G057554 Zm00001d025640 Zm00001eb424460,2
320042,ZmHAG42,GNAT,Zm00001eb425150,HAGTF42,pUT6614,GRMZM2G359735 Zm00001d025713 Zm00001eb425150,2
320043,ZmHAG43,GNAT,Zm00001eb431690,HAGTF43,pUT5552,Zm00001d026391 GRMZM5G818977 Zm00001eb431690,
320044,ZmHAG44,GNAT,Zm00001eb206720,,,Zm00001eb206720 Zm00001d053745,
320045,ZmHAG45,GNAT,Zm00001eb090120,,,Zm00001eb090120,
320046,ZmHAG46,GNAT,Zm00001eb284340,,,Zm00001d037778 Zm00001eb284340 GRMZM5G868222,
330001,ZmGRAS1,GRAS,Zm00001eb397720,GRAS1,pUT3105,Zm00001d047813 Zm00001eb397720 GRMZM2G098784,
330002,ZmGRAS2,GRAS,Zm00001eb363140,GRAS2,pUT4723,Zm00001d011881 Zm00001eb363140 GRMZM2G129154,2
330003,ZmGRAS3,GRAS,Zm00001eb029390,GRAS3,,Zm00001d030744 GRMZM2G179325 Zm00001eb029390,1
330004,ZmGRAS4,GRAS,Zm00001eb141310,GRAS4,,Zm00001d042127 GRMZM2G082387 Zm00001eb141310,1
330005,ZmGRAS5,GRAS,Zm00001eb139470,GRAS5,pUT3669,Zm00001d041919 Zm00001eb139470 Zm00001eb096600 GRMZM2G146018,
330006,ZmGRAS6,GRAS,Zm00001eb355860,GRAS6,,GRMZM2G346706 Zm00001d011070 Zm00001eb355860 Zm00001eb355870,
330007,ZmGRAS7,GRAS,Zm00001eb144340,GRAS7,,GRMZM2G013016 Zm00001d042472 Zm00001eb144340,1
330008,ZmGRAS8,GRAS,Zm00001eb054480,D8,,Zm00001d033680 GRMZM2G144744 Zm00001eb054480,1
330009,ZmGRAS9,GRAS,Zm00001eb202270,GRAS9,,Zm00001d053163 Zm00001eb202270 GRMZM2G091656,
330010,ZmGRAS10,GRAS,Zm00001eb249840,GRAS10,pUT3652,Zm00001eb249840 GRMZM2G110579 Zm00001d017513,1
330011,ZmGRAS11,GRAS,Zm00001eb326210,GRAS11,pUT6037,Zm00001eb326210 GRMZM2G097456 Zm00001d021998,
330012,ZmGRAS12,GRAS,,GRAS12,,GRMZM5G826526,
330013,ZmGRAS13,GRAS,Zm00001eb196430,GRAS13,pUT4727,Zm00001eb196430 GRMZM2G140094 Zm00001d052464,1
330014,ZmGRAS14,GRAS,Zm00001eb115950,GRAS14,pUT3998,Zm00001eb115950 Zm00001d007713 GRMZM2G070371,
330015,ZmGRAS15,GRAS,,GRAS15,,GRMZM5G874545,
330016,ZmGRAS16,GRAS,Zm00001eb049880,GRAS16,pUT6153,Zm00001eb049880 GRMZM2G335814 Zm00001d033166,
330017,ZmGRAS17,GRAS,Zm00001eb236120,GRAS17,pUT5631,Zm00001d015815 GRMZM2G143433 Zm00001eb236120,1
330018,ZmGRAS18,GRAS,Zm00001eb268460,GRAS18,,Zm00001eb268460 Zm00001eb268470 Zm00001d035873 GRMZM2G011947,
330019,ZmGRAS19,GRAS,Zm00001eb326020,GRAS19,pUT3422,Zm00001eb326020 Zm00001d021973 GRMZM2G172657,
330020,ZmGRAS20,GRAS,Zm00001eb344400,SCL1,pUT3051,GRMZM2G023872 Zm00001d009646 Zm00001eb344400,2
330021,ZmGRAS21,GRAS,Zm00001eb027720,GRAS21,pUT1682,GRMZM2G116638 Zm00001d030500 Zm00001eb027720,
330022,ZmGRAS22,GRAS,Zm00001eb428430,GRAS22,,Zm00001d026050 Zm00001eb428430 GRMZM2G173429,2
330023,ZmGRAS23,GRAS,Zm00001eb148290,GRAS23,pUT3101,Zm00001d042907 GRMZM2G157679 Zm00001eb148290,1
330024,ZmGRAS24,GRAS,Zm00001eb196420,GRAS24,pUT4960,GRMZM2G140085 Zm00001eb196420 Zm00001d052463,1
330025,ZmGRAS25,GRAS,Zm00001eb082700,GRAS25,,Zm00001d003657 Zm00001eb082700 GRMZM2G420280,1
330026,ZmGRAS26,GRAS,Zm00001eb164530,GRAS26,,Zm00001d048604 GRMZM5G868355 GRMZM2G163427 Zm00001eb164530,
330027,ZmGRAS27,GRAS,Zm00001eb019640,GRAS27,,Zm00001eb019640 Zm00001d029474 GRMZM2G110067,1
330028,ZmGRAS28,GRAS,Zm00001eb170100,GRAS28,pUT4182,Zm00001eb170100 Zm00001d049249 GRMZM2G342217 Zm00001eb170110,1
330029,ZmGRAS29,GRAS,Zm00001eb405100,GRAS29,pUT6130,Zm00001d023248 Zm00001eb405100 AC198366.3_FG004 Zm00001eb405110,
330030,ZmGRAS30,GRAS,Zm00001eb422620,GRAS30,pUT4725,GRMZM2G176537 Zm00001eb422620,2
330031,ZmGRAS31,GRAS,Zm00001eb074460,GRAS31,pUT3416,Zm00001eb074460 Zm00001d002718 GRMZM5G825321,
330032,ZmGRAS32,GRAS,Zm00001eb379340,GRAS32,pUT3041,Zm00001eb379340 GRMZM2G051785 Zm00001d045589,1
330033,ZmGRAS33,GRAS,Zm00001eb023010,GRAS33,pUT5701,Zm00001d029855 GRMZM2G079470 Zm00001eb023010,1
330034,ZmGRAS34,GRAS,Zm00001eb164530,GRAS34,,GRMZM2G163427 Zm00001d048604 Zm00001eb164530 GRMZM5G868355,
330035,ZmGRAS35,GRAS,Zm00001eb067940,GRAS35,,Zm00001d002023 Zm00001eb067940 GRMZM2G386362 Zm00001eb067930,
330036,ZmGRAS36,GRAS,,GRAS36,,GRMZM2G348780 Zm00001d030838,
330037,ZmGRAS37,GRAS,Zm00001eb093670,GRAS37,,GRMZM2G015080 Zm00001d005029 Zm00001eb093670,2
330038,ZmGRAS38,GRAS,Zm00001eb325750,GRAS38,pUT3055,Zm00001eb325750 GRMZM2G098517 Zm00001d021946,
330039,ZmGRAS39,GRAS,Zm00001eb246430,GRAS39,,GRMZM2G408012 Zm00001d017129 Zm00001eb246430,
330040,ZmGRAS40,GRAS,Zm00001eb062760,GRAS40,pUT6134,Zm00001eb062760 GRMZM2G368909 Zm00001d034664,1
330041,ZmGRAS41,GRAS,,GRAS41,,GRMZM5G885274,
330042,ZmGRAS42,GRAS,Zm00001eb378590,GRAS42,,Zm00001eb378590 Zm00001d045507 AC234164.1_FG004,1
330043,ZmGRAS43,GRAS,Zm00001eb164470,GRAS43,pUT6180,Zm00001d048600 Zm00001eb164470 GRMZM5G895672,
330044,ZmGRAS44,GRAS,Zm00001eb216610,D9,,GRMZM2G024973 Zm00001d013465 Zm00001eb216610,2
330045,ZmGRAS45,GRAS,Zm00001eb401210,AY109543,,Zm00001d048199 Zm00001eb401210 GRMZM2G028039,
330046,ZmGRAS46,GRAS,Zm00001eb158520,GRAS46,,GRMZM2G001426 Zm00001d044065 Zm00001eb158520,
330047,ZmGRAS47,GRAS,Zm00001eb136150,GRAS47,,GRMZM2G089782 Zm00001eb136150 Zm00001d041498 Zm00001eb136140,
330048,ZmGRAS48,GRAS,Zm00001eb164350,GRAS48,pUT3646,Zm00001eb164350 Zm00001d048588 GRMZM2G018254,
330049,ZmGRAS49,GRAS,Zm00001eb106490,GRAS49,pUT5952,GRMZM5G821439 GRMZM2G319634 Zm00001d006551 Zm00001eb106490,
330050,ZmGRAS50,GRAS,Zm00001eb136350,GRAS50,pUT5702,GRMZM2G159475 Zm00001eb136350 Zm00001d041536,2
330051,ZmGRAS51,GRAS,Zm00001eb081760,GRAS51,,GRMZM2G028608 Zm00001d003553 Zm00001eb081760,1
330052,ZmGRAS52,GRAS,Zm00001eb073130,GRAS52,pUT6089,Zm00001d002573 GRMZM2G109869 Zm00001eb073130,1
330053,ZmGRAS53,GRAS,Zm00001eb000470,GRAS53,pUT3660,Zm00001eb000470 Zm00001d027292 GRMZM2G361164 Zm00001eb000460 GRMZM2G060265,1
330054,ZmGRAS54,GRAS,Zm00001eb324600,GRAS54,pUT3661,Zm00001eb324600 Zm00001d021826 Zm00001d021824 GRMZM2G106548,1
330055,ZmGRAS55,GRAS,Zm00001eb215870,GRAS55,pUT3999,Zm00001eb215870 Zm00001d013385 GRMZM2G104342,2
330056,ZmGRAS56,GRAS,Zm00001eb291030,GRAS56,pUT3662,Zm00001d038518 GRMZM2G037286 Zm00001eb291030,1
330057,ZmGRAS57,GRAS,Zm00001eb266920,GRAS57,pUT5632,Zm00001eb266920 GRMZM2G089662 Zm00001d035670,
330058,ZmGRAS58,GRAS,Zm00001eb020840,GRAS58,pUT3996,Zm00001d029607 Zm00001eb020840 Zm00001eb020850 GRMZM2G132794,
330059,ZmGRAS59,GRAS,,GRAS59,,AC204621.4_FG006 Zm00001d048624,
330060,ZmGRAS60,GRAS,Zm00001eb266930,GRAS60,pUT3997,Zm00001eb266930 Zm00001d035671 GRMZM2G089636,
330061,ZmGRAS61,GRAS,Zm00001eb011560,GRAS61,pUT4000,GRMZM2G055263 Zm00001eb011560 Zm00001d028526,1
330062,ZmGRAS62,GRAS,Zm00001eb291930,GRAS62,pUT3978,GRMZM2G313078 Zm00001eb291930 Zm00001d038609 Zm00001eb291940,1
330063,ZmGRAS63,GRAS,Zm00001eb326550,GRAS63,,Zm00001d022034 Zm00001d022033 Zm00001eb326550 GRMZM2G418899,
330064,ZmGRAS64,GRAS,Zm00001eb112130,GRAS64,pUT4230,Zm00001d007248 Zm00001eb112130 GRMZM2G425366,
330065,ZmGRAS65,GRAS,Zm00001eb055700,GRAS65,pUT4003,Zm00001d033834 Zm00001eb055700 GRMZM2G133169,1
330066,ZmGRAS66,GRAS,,GRAS66,,AC200124.3_FG005,2
330067,ZmGRAS67,GRAS,Zm00001eb012280,GRAS67,pUT6085,Zm00001eb012280 GRMZM2G049159 Zm00001d028603,
330068,ZmGRAS68,GRAS,Zm00001eb164480,GRAS68,pUT4001,Zm00001eb164480 Zm00001d048601 GRMZM2G073823,
330069,ZmGRAS69,GRAS,Zm00001eb288400,GRAS69,,Zm00001eb288400 GRMZM2G153333 Zm00001d038225,1
330070,ZmGRAS70,GRAS,Zm00001eb388460,GRAS70,pUT4726,Zm00001d046783 Zm00001eb388460 GRMZM2G114680,1
330071,ZmGRAS71,GRAS,,GRAS71,,GRMZM2G117949 Zm00001d047123,2
330072,ZmGRAS72,GRAS,Zm00001eb164490,GRAS72,,GRMZM2G073805 Zm00001d048602 Zm00001eb164490,
330073,ZmGRAS73,GRAS,Zm00001eb108250,GRAS73,,Zm00001eb108250 Zm00001d006744 GRMZM2G125501,
330074,ZmGRAS74,GRAS,Zm00001eb392980,GRAS74,pUT6151,Zm00001d047266 Zm00001eb392980 GRMZM2G359304,2
330075,ZmGRAS75,GRAS,Zm00001eb107910,GRAS75,pUT3375,Zm00001d006701 GRMZM2G431309 Zm00001eb107910,
330076,ZmGRAS76,GRAS,Zm00001eb187310,GRAS76,pUT4002,Zm00001d051461 Zm00001eb187310 GRMZM2G028438,2
330077,ZmGRAS77,GRAS,Zm00001eb285410,GRAS77,pUT3980,Zm00001d037901 GRMZM5G889326 Zm00001eb285410,
330078,ZmGRAS78,GRAS,Zm00001eb195650,SCRO1,pUT6286,Zm00001eb195650 GRMZM2G131516 Zm00001d052380,1
330079,ZmGRAS79,GRAS,Zm00001eb429450,GRAS79,pUT3653,Zm00001d026158 Zm00001eb429450 GRMZM2G037792,2
330080,ZmGRAS80,GRAS,Zm00001eb186770,GRAS80,pUT6034,Zm00001eb186770 GRMZM2G098800 Zm00001d051387,2
330081,ZmGRAS81,GRAS,Zm00001eb327300,GRAS81,,GRMZM2G169636 Zm00001d022116 Zm00001eb327300,1
330082,ZmGRAS82,GRAS,Zm00001eb165340,GRAS82,pUT6135,GRMZM2G106356 Zm00001d048682 Zm00001eb165340,
330083,ZmGRAS83,GRAS,Zm00001eb164500,GRAS83,,Zm00001d048603 Zm00001eb164500 GRMZM2G073779,
330084,ZmGRAS84,GRAS,,GRAS84,,GRMZM2G106336 Zm00001d048681,
330085,ZmGRAS85,GRAS,Zm00001eb108090,GRAS85,pUT6549,Zm00001eb108090 GRMZM2G019060 Zm00001d006721,
330086,ZmGRAS86,GRAS,Zm00001eb405090,GRAS86,,GRMZM2G317287 Zm00001d023247 Zm00001eb405090 Zm00001eb405080,
330087,ZmGRAS87,GRAS,Zm00001eb387740,,,Zm00001eb387740 Zm00001d046677,
330088,ZmGRAS88,GRAS,Zm00001eb049620,,,Zm00001eb049620,
330089,ZmGRAS89,GRAS,Zm00001eb381460,,,Zm00001eb381460,
330090,ZmGRAS90,GRAS,Zm00001eb256630,,,GRMZM2G149930 Zm00001eb256630 Zm00001d018252,1
330091,ZmGRAS91,GRAS,Zm00001eb133730,ZmVOZ3,,Zm00001d041158 GRMZM2G094081 Zm00001eb133730,
330092,ZmGRAS92,GRAS,Zm00001eb301400,,,Zm00001d018956 Zm00001eb301400 Zm00001eb301410,
330093,ZmGRAS93,GRAS,Zm00001eb002990,,,Zm00001eb002990 Zm00001d027569,
330094,ZmGRAS94,GRAS,Zm00001eb398990,,,Zm00001d047957 Zm00001eb398990 Zm00001eb399000,
330095,ZmGRAS95,GRAS,Zm00001eb327660,,,Zm00001eb327660 Zm00001d022162,
330096,ZmGRAS96,GRAS,Zm00001eb246980,,,Zm00001eb246980,
340001,ZmGRF1,GRF,Zm00001eb056050,GRFTF1,pUT3418,GRMZM2G178261 Zm00001d033876 Zm00001eb056050,
340002,ZmGRF2,GRF,Zm00001eb104790,AY109917,pUT3344,GRMZM2G004619 Zm00001d006348 Zm00001eb104790,2
340003,ZmGRF3,GRF,Zm00001eb320200,GRFTF3,pUT3415,GRMZM2G096709 Zm00001eb320200 Zm00001d021362,1
340004,ZmGRF4,GRF,Zm00001eb052070,GRFTF4,,GRMZM2G018414 Zm00001d033396 Zm00001eb052070,1
340005,ZmGRF5,GRF,Zm00001eb430310,GRFTF5,pUT5949,Zm00001d026243 Zm00001eb430310 Zm00001eb430290 Zm00001d026241 Zm00001d026240 Zm00001d026235 Zm00001eb430320 Zm00001eb430340 Zm00001d026239 Zm00001eb430250 Zm00001d026236 Zm00001eb430330 GRMZM2G109753 GRMZM2G129147 Zm00001d026242 GRMZM2G129169 GRMZM2G129133 Zm00001eb430300,2
340006,ZmGRF6,GRF,Zm00001eb251820,GRFTF6,pUT6086,Zm00001d017742 Zm00001eb251820 GRMZM2G034876,1
340007,ZmGRF7,GRF,Zm00001eb269150,GRFTF7,,GRMZM2G098594 Zm00001d035965 Zm00001eb269150,2
340008,ZmGRF8,GRF,Zm00001eb071830,GRFTF8,pUT3356,GRMZM2G041223 Zm00001eb071830 Zm00001d002429,1
340009,ZmGRF9,GRF,,GRFTF9,,GRMZM2G124566 Zm00001d051456,2
340010,ZmGRF10,GRF,Zm00001eb193180,GRFTF10,,Zm00001d052112 GRMZM2G105335 Zm00001eb193180,
340011,ZmGRF11,GRF,Zm00001eb278670,GRFTF11,pUT4728,GRMZM5G850129 Zm00001eb278670 Zm00001d037117,
340012,ZmGRF12,GRF,Zm00001eb373670,GRFTF12,pUT3345,Zm00001eb373670 GRMZM2G067743,
340013,ZmGRF13,GRF,Zm00001eb250620,GRFTF13,pUT6764,GRMZM2G045977 Zm00001d017602 Zm00001eb250620,1
340014,ZmGRF14,GRF,Zm00001eb215560,GRFTF14,pUT3346,Zm00001eb215560 GRMZM5G853392 Zm00001d013346,
340015,ZmGRF15,GRF,Zm00001eb113950,GRFTF15,pUT3370,Zm00001eb113950 Zm00001d007465 GRMZM2G099862,2
340016,ZmGRF16,GRF,Zm00001eb256730,ZmOrphan340,pUT4967,Zm00001eb256730 Zm00001eb256720 Zm00001d018260 GRMZM5G893117,
350001,ZmGBP1,GeBP,Zm00001eb264080,GBPTF1,,Zm00001d035224 GRMZM2G392516 Zm00001eb264080,
350002,ZmGBP2,GeBP,,GBPTF2,,GRMZM2G065506,1
350003,ZmGBP3,GeBP,Zm00001eb054670,GBPTF3,pUT1766,GRMZM2G041818 Zm00001eb054670 Zm00001d033706,1
350004,ZmGBP4,GeBP,Zm00001eb373390,GBPTF4,pUT4719,Zm00001eb373390 Zm00001d044953 GRMZM2G066373,1
350005,ZmGBP5,GeBP,Zm00001eb216500,GBPTF5,,Zm00001eb216500 Zm00001d013451 GRMZM2G162405,2
350006,ZmGBP6,GeBP,Zm00001eb110030,GBPTF6,pUT3117,Zm00001d006945 GRMZM2G075122 Zm00001eb110030,2
350007,ZmGBP7,GeBP,Zm00001eb314630,GBPTF7,pUT3141,GRMZM2G092409 Zm00001eb314630 Zm00001d020688,1
350008,ZmGBP8,GeBP,Zm00001eb100610,GBPTF8,pUT3240,Zm00001eb100610 GRMZM2G134866 Zm00001d005865,2
350009,ZmGBP9,GeBP,Zm00001eb394180,GBPTF9,,Zm00001eb394180 Zm00001d047421 GRMZM2G030458,2
350010,ZmGBP10,GeBP,Zm00001eb279010,GBPTF10,pUT6203,Zm00001eb279010 Zm00001d037158 GRMZM2G008558,2
350011,ZmGBP11,GeBP,Zm00001eb418630,GBPTF11,pUT3123,GRMZM2G006871 Zm00001eb418630 Zm00001d024905,2
350012,ZmGBP12,GeBP,Zm00001eb328650,GBPTF12,pUT2289,Zm00001d022266 GRMZM2G082318 Zm00001eb328650,1
350013,ZmGBP13,GeBP,,GBPTF13,,Zm00001d035295 GRMZM2G155252,
350014,ZmGBP14,GeBP,Zm00001eb203350,AY111962,pUT3380,Zm00001d053298 Zm00001eb203350 GRMZM2G125239,2
350015,ZmGBP15,GeBP,Zm00001eb264150,GBPTF15,pUT3058,GRMZM2G036966 Zm00001d035234 Zm00001eb264150,
350016,ZmGBP16,GeBP,Zm00001eb256160,GBPTF16,pUT3057,Zm00001d018198 Zm00001eb256160 GRMZM2G174240,1
350017,ZmGBP17,GeBP,Zm00001eb256290,GBPTF17,pUT3118,GRMZM2G083886 Zm00001eb256290 Zm00001d018208,1
350018,ZmGBP18,GeBP,Zm00001eb018020,GBPTF18,pUT3119,Zm00001eb018020 GRMZM2G026417 Zm00001d029287,1
350019,ZmGBP19,GeBP,Zm00001eb213600,GBPTF19,pUT3039,GRMZM5G868875 Zm00001d013138 Zm00001eb213600,
350020,ZmGBP20,GeBP,Zm00001eb176440,GBPTF20,pUT6116,Zm00001eb176440 Zm00001d049991 GRMZM2G423292,2
350021,ZmGBP21,GeBP,Zm00001eb127420,GBPTF21,pUT3052,EF517601.1_FG010 Zm00001d040254 Zm00001eb127420,
350022,ZmGBP22,GeBP,Zm00001eb237120,,,GRMZM2G021015 Zm00001eb237120 Zm00001d015965,1
350023,ZmGBP23,GeBP,Zm00001eb064430,,,Zm00001d034837 AC207546.3_FG004 Zm00001eb064430,
350024,ZmGBP24,GeBP,Zm00001eb390570,,,Zm00001eb390570 Zm00001d047051 GRMZM2G001131,
350025,ZmGBP25,GeBP,Zm00001eb264140,,,Zm00001d035233 Zm00001eb264140 GRMZM2G003679,
350026,ZmGBP26,GeBP,Zm00001eb213500,,,Zm00001eb213500 Zm00001d013126 Zm00001d013125 Zm00001eb213510,
350027,ZmGBP27,GeBP,Zm00001eb149210,,,Zm00001eb149210,
