Function_origin	Module	SFunction_1	SFunction_2	SFunction_3
swissprot	turquoise	ATP-dependent zinc metalloprotease FTSH 2, chloroplastic OS=Oryza sativa subsp. japonica	Protein NLP1 OS=Oryza sativa subsp. japonica	Photosystem II protein D1 OS=Zea mays
swissprot	darkred	LIM domain-containing protein HDR3 OS=Oryza sativa subsp. japonica	DExH-box ATP-dependent RNA helicase DExH7, chloroplastic OS=Arabidopsis thaliana	Probable serine/threonine protein kinase IREH1 OS=Arabidopsis thaliana
swissprot	sienna3	Putative expansin-B14 OS=Oryza sativa subsp. japonica	Omega-hydroxypalmitate O-feruloyl transferase OS=Arabidopsis thaliana	Protein RGF1 INDUCIBLE TRANSCRIPTION FACTOR 1 OS=Arabidopsis thaliana
swissprot	yellowgreen	DEAD-box ATP-dependent RNA helicase 27 OS=Oryza sativa subsp. japonica	WAT1-related protein At5g64700 OS=Arabidopsis thaliana	Probable cyclic nucleotide-gated ion channel 20, chloroplastic OS=Arabidopsis thaliana
swissprot	paleturquoise	V-type proton ATPase subunit B 1 OS=Hordeum vulgare	Protein ANTHESIS POMOTING FACTOR 1 OS=Arabidopsis thaliana	Outer envelope pore protein 16-3, chloroplastic/mitochondrial OS=Arabidopsis thaliana
swissprot	purple	Actin-related protein 2/3 complex subunit 3 OS=Arabidopsis thaliana	DNA-directed RNA polymerases II, IV and V subunit 9A OS=Arabidopsis thaliana	Ankyrin repeat protein SKIP35 OS=Arabidopsis thaliana
swissprot	yellow	Probable receptor-like protein kinase At2g42960 OS=Arabidopsis thaliana	Uncharacterized membrane protein At1g16860 OS=Arabidopsis thaliana	Pyrophosphate-energized vacuolar membrane proton pump OS=Hordeum vulgare
swissprot	skyblue3	Probable protein phosphatase 2C 42 OS=Oryza sativa subsp. japonica	LOB domain-containing protein 2 OS=Arabidopsis thaliana	Cycloartenol synthase OS=Luffa aegyptiaca
swissprot	violet	Auxin response factor 2 OS=Oryza sativa subsp. japonica	Calcium-dependent protein kinase 6 OS=Oryza sativa subsp. japonica	Probable trehalose-phosphate phosphatase 10 OS=Oryza sativa subsp. japonica
swissprot	orange	Fructose-bisphosphate aldolase, chloroplastic OS=Oryza sativa subsp. japonica	Ornithine carbamoyltransferase, chloroplastic OS=Pisum sativum	Glycine cleavage system H protein 2, mitochondrial OS=Arabidopsis thaliana
swissprot	green	Calcium and calcium/calmodulin-dependent serine/threonine-protein kinase OS=Oryza sativa subsp. japonica	Homeobox-leucine zipper protein ROC2 OS=Oryza sativa subsp. japonica	Homeobox-leucine zipper protein ROC1 OS=Oryza sativa subsp. japonica
swissprot	pink	Histone H1 OS=Zea mays	Protein IN2-1 OS=Zea mays	Peroxisomal membrane protein PEX14 OS=Arabidopsis thaliana
swissprot	skyblue	DNA repair protein recA homolog 2, mitochondrial OS=Arabidopsis thaliana	COP9 signalosome complex subunit 8 OS=Arabidopsis thaliana	Monocopper oxidase-like protein SKU5 OS=Arabidopsis thaliana
swissprot	darkolivegreen	Protein MRG1 OS=Arabidopsis thaliana	Shikimate kinase 3, chloroplastic OS=Oryza sativa subsp. japonica	LOB domain-containing protein 18 OS=Arabidopsis thaliana
swissprot	plum1	Microtubule-binding protein TANGLED1 OS=Zea mays	Glutathione synthetase, chloroplastic OS=Brassica juncea	Protein NDL1 OS=Arabidopsis thaliana
swissprot	darkmagenta	Small ribosomal subunit protein uS12y OS=Arabidopsis thaliana	ATP-dependent DNA helicase Q-like SIM OS=Arabidopsis thaliana	Probably inactive leucine-rich repeat receptor-like protein kinase At5g48380 OS=Arabidopsis thaliana
swissprot	midnightblue	UDP-galactose/UDP-glucose transporter 7 OS=Arabidopsis thaliana	Non-structural maintenance of chromosomes element 4 homolog A OS=Arabidopsis thaliana	Transcription factor ILR3 OS=Arabidopsis thaliana
swissprot	darkgrey	Gamma-glutamylcyclotransferase 2-2 OS=Arabidopsis thaliana	Exportin-T OS=Oryza sativa subsp. japonica	Probable sphingolipid transporter spinster homolog 3 OS=Arabidopsis thaliana
swissprot	black	Transcription factor TIP2 OS=Oryza sativa subsp. japonica	Transcription factor TDR OS=Oryza sativa subsp. japonica	Transcription factor MYB65 OS=Arabidopsis thaliana
swissprot	lightcyan	DNA repair protein RAD50 OS=Arabidopsis thaliana	Cyclin-dependent kinase D-1 OS=Oryza sativa subsp. japonica	Histidine--tRNA ligase, cytoplasmic OS=Oryza sativa subsp. japonica
swissprot	tan	Leucine-rich repeat receptor protein kinase HPCA1 OS=Arabidopsis thaliana	Transketolase, chloroplastic OS=Zea mays	Receptor protein-tyrosine kinase CEPR1 OS=Arabidopsis thaliana
swissprot	lightyellow	Glycerol-3-phosphate acyltransferase 5 OS=Arabidopsis thaliana	UDP-xylose transporter 1 OS=Arabidopsis thaliana	THO complex subunit 4D OS=Arabidopsis thaliana
swissprot	grey	CBL-interacting protein kinase 8 OS=Oryza sativa subsp. japonica	Serine/threonine-protein kinase GRIK2 OS=Arabidopsis thaliana	Sulfate transporter 1.3 OS=Arabidopsis thaliana
swissprot	blue	DNA-directed RNA polymerases II, IV and V subunit 11 OS=Arabidopsis thaliana	tRNA (guanine(26)-N(2))-dimethyltransferase 1 OS=Arabidopsis thaliana	Thiosulfate/3-mercaptopyruvate sulfurtransferase 1, mitochondrial OS=Arabidopsis thaliana
swissprot	darkorange	14-3-3-like protein GF14-D OS=Oryza sativa subsp. japonica	Protein transport protein SEC31 homolog B OS=Arabidopsis thaliana	Protein SHORTAGE IN CHIASMATA 1 homolog OS=Oryza sativa subsp. japonica
swissprot	grey60	Zinc finger protein STAR3 OS=Oryza sativa subsp. japonica	Meiosis-specific protein PAIR3 OS=Oryza sativa subsp. japonica	Protein FEZ OS=Arabidopsis thaliana
swissprot	saddlebrown	Phospholipase SGR2 OS=Arabidopsis thaliana	Protein MOS2 OS=Arabidopsis thaliana	Phosphatidylinositol-3-phosphatase SAC1 OS=Arabidopsis thaliana
swissprot	darkgreen	LRR receptor-like serine/threonine-protein kinase ER2 OS=Oryza sativa subsp. japonica	ABC transporter G family member 11 OS=Arabidopsis thaliana	Fatty acid amide hydrolase OS=Arabidopsis thaliana
